9       3       0       0       7       0       0       8       0       0       0       0       7       0       0       2       0       0       3       0       0       0       0       0       0       0       7       2       7       2       3       2       7       0       0       0       7       7       40      -14     4       %A1
3       9       0       2       0       0       1       0       0       0       0       0       0       0       2       2       7       2       2       2       2       1       2       7       0       0       7       2       7       0       2       1       7       0       0       0       7       7       60      -14     4       %A2
0       0       9       2       2       8       0       3       8       2       0       1       1       1       3       2       7       3       1       0       2       1       1       3       2       0       2       0       0       2       0       1       0       0       0       0       7       2       0       32      24      %CCA
0       0       2       9       2       8       1       7       0       2       2       1       2       2       3       3       7       2       2       0       0       2       0       2       0       0       0       2       0       0       2       1       0       2       2       2       7       2       0       -32     24      %CCP
7       7       1       3       9       1       2       7       2       0       1       1       3       3       2       2       7       3       3       1       0       2       7       7       0       7       7       7       7       7       7       1       7       7       2       7       7       7       0       -48     12      %CCR
7       0       8       8       0       9       0       3       3       0       0       0       0       0       0       8       7       8       3       1       1       8       0       0       1       7       7       8       0       8       0       8       7       7       0       0       0       7       0       16      -8      %CCS
0       2       1       1       0       0       9       0       0       0       3       3       2       2       2       3       7       0       2       0       2       1       3       3       0       7       7       3       7       0       0       1       0       2       7       2       7       7       36      8       56      %FEF
0       0       8       8       7       3       0       9       3       7       0       0       8       8       0       8       8       0       3       3       1       1       8       0       0       1       8       0       0       0       0       2       7       0       0       0       7       0       36      16      -4      %IA
0       0       8       8       0       0       0       3       9       0       8       0       1       1       8       0       1       7       8       3       1       3       8       3       3       1       8       8       0       8       1       1       7       0       0       0       7       0       36      -8      -4      %IP
0       0       2       1       0       0       0       7       7       9       2       2       2       2       0       0       0       0       0       0       0       7       2       2       3       2       2       0       0       0       0       0       0       0       0       0       7       7       24      -24     56      %M1
0       0       2       2       1       0       0       2       3       2       9       3       2       2       3       0       0       0       3       0       2       0       2       2       1       3       3       2       0       0       2       2       0       2       2       2       7       7       44      -48     20      %PCI
7       0       1       2       1       0       2       8       8       1       3       9       2       2       3       0       0       0       2       2       2       0       3       2       1       2       2       2       2       0       2       2       2       2       2       2       7       7       44      -64     28      %PCIP
7       0       1       1       3       0       2       1       1       0       0       2       9       2       2       0       0       0       0       0       2       7       3       2       0       0       0       2       0       0       2       1       0       2       7       2       7       7       8       -64     54      %PCM
7       0       1       1       3       0       2       1       1       0       0       2       2       9       2       8       8       0       0       0       2       0       3       2       1       0       0       2       0       0       2       2       0       2       2       2       7       7       28      -56     54      %PCS
7       1       3       2       3       0       2       0       2       0       2       1       2       2       9       2       8       2       2       3       3       1       2       2       3       2       8       1       0       2       1       1       0       1       2       2       7       7       48      32      12      %PFCCL
7       0       3       0       2       8       2       2       1       0       2       0       2       2       2       9       7       2       3       2       2       1       2       3       0       7       7       2       0       2       2       1       7       7       0       0       7       7       48      36      32      %PFCDL
7       7       2       0       0       0       0       2       1       0       0       0       7       7       0       7       9       7       0       7       0       0       1       1       0       7       7       7       0       0       0       0       7       7       0       0       7       7       8       36      40      %PFCDM
0       0       2       1       0       3       0       0       0       0       0       0       0       0       2       3       0       9       2       3       2       2       0       0       0       0       0       2       0       2       0       3       0       0       0       0       7       7       8       48      20      %PFCM
0       2       3       1       0       3       0       3       2       0       0       2       2       0       2       2       7       3       9       2       2       2       2       1       1       7       7       2       2       3       2       3       7       0       0       0       7       2       24      44      -20     %PFCORB
7       2       3       1       0       0       2       3       3       0       0       0       0       0       3       3       0       3       3       9       2       2       0       0       0       0       0       0       0       3       2       3       0       0       0       0       7       7       24      64      4       %PFCPOL
7       2       1       0       0       8       2       3       1       0       2       2       2       2       2       2       7       0       3       1       9       1       3       3       0       7       7       7       2       1       2       1       7       0       2       2       7       7       48      32      -8      %PFCVL
0       0       1       1       0       1       0       1       1       7       0       0       1       0       2       2       7       2       2       2       2       9       7       7       2       0       0       0       2       2       2       2       2       0       0       2       7       0       28      -16     -16     %PHC
7       2       2       0       0       0       3       8       8       2       2       2       2       3       2       2       7       0       2       0       2       0       9       2       2       2       1       7       0       0       2       0       7       0       0       0       7       7       28      0       60      %PMCDL
7       7       2       1       0       0       1       0       1       2       2       2       3       3       2       2       2       0       2       0       2       0       2       9       2       2       1       7       0       0       7       0       7       0       0       0       2       7       4       0       60      %PMCM
0       0       1       0       0       0       0       0       0       2       1       3       0       0       2       0       0       0       2       1       1       0       2       2       9       0       2       0       0       0       0       0       0       0       0       0       7       7       44      4       24      %PMCVL
0       0       0       1       0       0       2       1       2       2       3       0       0       0       2       0       7       0       2       2       0       7       2       1       2       9       2       0       7       7       0       7       7       0       0       0       7       0       40      -28     64      %S1
7       0       2       2       7       0       0       1       2       2       3       0       0       0       2       0       7       0       3       0       0       1       1       0       3       2       9       0       7       7       0       1       7       0       0       0       7       7       56      -16     16      %S2
7       2       0       2       0       0       2       8       8       3       1       2       3       2       2       7       7       2       2       1       3       2       3       0       3       0       7       9       2       2       1       2       1       2       0       2       7       7       64      -24     -12     %TCC
7       0       0       0       0       0       0       0       0       0       0       2       0       0       2       0       0       0       2       1       3       2       7       7       0       7       7       2       9       3       2       2       0       2       0       2       7       0       64      -24     -24     %TCI
0       0       2       0       0       8       0       0       8       0       2       0       0       0       0       2       7       2       2       2       2       2       7       7       0       0       0       2       2       9       2       1       7       0       0       2       7       7       52      12      -28     %TCPOL
3       2       0       2       0       0       2       3       8       0       1       2       3       2       2       2       0       2       3       2       2       1       3       2       0       0       7       2       2       3       9       1       1       0       0       2       7       7       52      -4      -8      %TCS
0       0       3       1       0       3       0       8       8       0       1       1       1       0       0       2       2       2       2       2       2       1       7       7       0       0       0       0       2       2       2       9       2       1       0       2       7       7       32      -28     -28     %TCV
7       7       0       0       0       0       0       7       7       0       0       0       0       0       0       7       7       0       0       7       0       0       7       7       0       7       7       0       0       7       0       0       9       2       2       2       7       7       0       -84     -4      %V1
